ticker,current_price,ema100,ema200,52w_high,within_25_pct_high,up_days_pct_6m,one_year_return_unconventional,one_year_return_standard,return_6m,return_9m,return_12m,price_6m_ago,price_9m_ago,price_12m_ago,trading_days,data_sufficient,rejection_reasons,gate_A_trend,gate_B_proximity,gate_C_consistency,gate_D_performance,gate_pass,rank_6m,rank_9m,rank_12m,final_rank
COFORGE.NS,1831.699951171875,1738.5010584532931,1682.4390860413125,1945.739990234375,True,53.6,111.05521163182179,10.987920114185567,8.65529953316404,18.621937390945796,10.987920114185567,1685.789794921875,1544.1494140625,1650.3597412109375,494,True,,True,True,True,True,True,2.0,1.0,1.0,3.0
PERSISTENT.NS,6370.5,5657.586341563554,5533.422649643278,6634.27392578125,True,48.0,110.58790561754668,10.568711579024793,14.392471838925157,8.269361902246253,10.568711579024793,5568.9853515625,5883.93603515625,5761.57568359375,494,True,,True,True,True,True,True,1.0,2.0,2.0,3.0
